ID;Question;qTypesCount;qTransCount;qOutputType;aggre;allocation;amount;boolfield;conamount;covamount;distanceBand;distfield;eveconamount;eveconobjconpro;event;eventquality;field;grid;location;network;networkquality;objconamount;objconobjconpro;object;objectquality;placename;proportion
175;What is the potential accessibility by regional road for each 2 by 2 km grid cell in Finland;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0
176;Where are clusters of pedestrian injuries in Georgia from 2001 to 2010;4;2;location;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
177;Where are the clusters of Chinese immigrants in Auckland from 1991 to 2006;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
178;Where is the hot spots and cold spots of robberies in Shanghai in January 2009;4;2;location;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
179;What is the cervix cancer mortality rate of white females for each city in the Western USA from 1970 to 1994;6;2;objconobjconpro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0
180;What is the interpolation surface of NO2 concentration in Vancouver;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
181;Where are health care facilities in Riverside San Bernardino in California;4;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
182;What is the population density for each neighborhood in Riverside San Bernardino in CA;5;1;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2
183;What is the population density for each neighborhoods with no health care facility in Riverside-San Bernardino;6;2;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2
184;What land use is on top of sandy soil in the Netherlands;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0
185;What is the aspect of ski pistes in the Happy Valley resort;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
186;What are the directional trends of animal grazing in the Netherlands;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
187;What is the density surface of crape myrtles in Oleander;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
188;What is the access score to family physicians services for each Census Consolidated Subdivision in Saskatchewan in Canada;5;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0
189;What is the accessibility index from the centers of 2 by 2 km grid cells to the closest public hospital in Sichuan in China;6;2;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;0
190;What areas are within 10 minutes, 30 minutes, and 60 minutes of driving time from private hospitals in Sichuan in China;6;3;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;3;0;0;0
191;What is the travel time from the centers of 2 by 2 km grids to public hospitals in East Sichuan in China;6;2;networkquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;0;0;0
192;What is the kernel density surface of potential geographic access of communities to clinics in Chibuto in Mozambique in 2019;6;3;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;0
193;What is the percentage of vacant houses to the house totals in Tarrant County, Texas;7;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1
194;What is the access score to nurse practitioner services for each Census Consolidated Subdivision in Alberta in Canada;5;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0
195;What is the percentage of population older than 65 for each Census Consolidated Subdivision in Alberta in Canada;7;3;proportion;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1
196;What is the potential accessibility by national network for each 2 by 2km grid cell in Finland;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0
197;What is the travel time from the centroids of 2 by 2 km grid cells to the nearest railway stations in Finland;6;3;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;1;0;0
198;What is the travel time from the centroids of 2 by 2 km grid cells to the nearest airport in Finland;6;3;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;1;0;0
199;What areas do not have natural resources in the UK;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
200;What areas are within 1000 meters of the major transport routes in Amsterdam;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
201;What is the proportion of people over 65 for each PC4 area in Amsterdam;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
202;What is the density of parks for each PC4 area in Amsterdam;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
203;What is the average Euclidean distance to parks for each PC4 area in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
204;What is the mean center of the fire calls for each alarm territory in Fort Worth in 2017;4;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
205;What is the central feature of fire station in Fort Worth;3;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
206;What is the mean center of crimes weighted by the severity in Fort Worth;4;1;covamount;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
207;Where is a best site for a radioactive waste site in UK;4;1;allocation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
208;Which store has the highest monthly sales in Tarrant County in Texas;5;1;object;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
209;Which road has the highest traffic count in Tarrant County in Texas;5;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0
210;What is the mean center of accidents weighted by priority for each alarm territories in Fort Worth;5;1;covamount;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0
211;What is the standard distance circles of fire calls answered by fire stations in Fort Worth;5;2;covamount;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
212;What are the standard distance circles of accidents for each fire station in Fort Worth;4;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
213;What are the standard distance circles of fire calls weighted by priority for each fire station in Fort Worth;5;1;covamount;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0
214;What is the directional trend of fire calls weighted by priority for each fire station in Fort Worth;5;1;covamount;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0
215;What is the number of Hispanics for each census block in Tarrant County in Texas;5;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
216;What is the percentage of the bald eagle to the bird totals for each park in Texas;7;3;proportion;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1
217;What is the households density for each census block in Fort Worth;4;1;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
218;What is the average neighbor distance to the 7 nearest neighbors for fire alarms in Fort Worth;4;2;aggre;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
219;What is the degree of clustering of fire alarms weighted by priority for each 60 meters distance band in Fort Worth;5;1;covamount;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
220;What is the degree of clustering of fire alarms weighted by priority rankings for each distance band from 60 to 600 meters by 30 meter increments in Fort Worth;5;1;covamount;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
221;What is the number of fire calls for each 150 by 150 meters grid cell in Fort Worth;4;1;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
222;What is the degree of clustering of fire alarms density for each 300 meter distance band in Fort Worth;5;2;covamount;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
223;Where are the clusters of fire alarms with similar priority for each 300 meter distance band in Fort Worth;3;2;location;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
224;Which houses are within 2 minutes driving time from fire stations in Oleander;6;3;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
225;Which houses are within 3 minutes driving time from the nearest fire station in Oleander;6;3;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
226;What is the Euclidean distance to hospitals in Oleander;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
227;What areas are within 20 minutes driving time from flower stores in Oleander;5;3;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;0;0
228;Which warehouse is closest to each household in Oleander;4;1;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
229;Where are the tornado touchdowns in Oleander in April 2011;3;1;location;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
230;What is the tornado path in Oleander in April 2011;3;1;event;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
231;What is a hurricane trajectory in Texas;3;1;event;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
232;What is the intensity of a hurricane in Texas;3;1;eventquality;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
233;What is the mean center of crimes in Amsterdam in 2019;3;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
234;What is the degree of clustering of 911 calls for each distance band from 300 to 900 meters by 60 meter increments in Portland;4;1;covamount;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
235;What is the average network distance to hospitals from household for each PC4 area in Amsterdam;6;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0
236;What is the average construction year of buildings for each PC4 area in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
237;What is the average Euclidean distance to hospitals per PC4 area in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
238;What is the number of elderly people for each neighborhood in Amsterdam;4;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
239;What is the density of green roofs for each PC4 area in Amsterdam;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
240;What is the average income of households for each PC4 area in Amsterdam;4;1;aggre;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
241;What is the percentage of seriously lonely people for each PC4 area in Amsterdam;6;3;proportion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1
242;What is the Euclidean distance to green areas in Amsterdam;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0
243;What is the average Euclidean distance to green areas per PC4 area in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
244;What is the average Euclidean distance to residential care complexes per PC4 area in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
245;What is the Safety Index for each district in Amsterdam;4;1;objectquality;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
246;What is the number of sport facilities in a 1000 square meters circle per neighborhood in Amsterdam;4;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
247;What is the Euclidean distance to subway stations in Amsterdam;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
248;What is the average Euclidean distance to subway stations per neighborhood in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
249;What is the Euclidean distance to tram stations in Amsterdam;3;1;field;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
250;What is the average Euclidean distance to a tram station per neighborhood in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
251;What is the tree density for each PC4 area in Amsterdam;4;1;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
252;What is the average urban heat island effect for each PC4 area in Amsterdam;4;1;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
253;What is the WOZ-waarde for each neighborhood in Amsterdam;4;1;conamount;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
254;What is the wall plant density for each PC4 area in Amsterdam;4;1;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
255;What is the percentage of water areas for each PC4 area in Amsterdam;6;3;proportion;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1
256;What is the percentage of population between 16 and 24 years to the total population per neighborhood in Amsterdam;7;3;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;1
257;Which buildings are not within 1 minute of driving time from a fire station in Fort Worth;6;3;object;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
258;Which fire station is closest to the fire calls in Fort Worth;4;1;object;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
259;What is the number of buildings affected by a hurricane in Oleander;5;2;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
260;What is the number of people affected by a hurricane in Oleander;5;2;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
261;What areas are outside 3000 meters of the rivers in Spain;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
262;What areas are outside 5000 meters of the roads in Spain;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
263;What is the number of luxury hotels in Happy Valley ski resort;3;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
264;What is the number of arson cases in Fort Worth on February 2004;3;1;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
265;What is the number of election votes for each precinct in Dallas;4;1;conamount;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
266;What is the number of dwelling units inside the flood zones in Oleander;5;2;conamount;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
267;What is the number of high school students for each senior high school district in Oleander;4;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
268;What is the number of buildings within 3 minutes of driving time from fire stations in Oleander;7;4;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0
269;Where are the off street paths in the Metro Vancouver region in Canada;4;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
270;What land use areas are intersected with sandy soil in the Netherlands;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0
271;What is the degree of dispersion for fire calls for each fire station in Fort Worth;4;1;covamount;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
272;What is the degree of dispersion for fire calls weighted by priority for each fire station in Fort Worth;5;1;covamount;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0
273;What is the percentage of elderly population to the total population for each 1 km grid in the Aichi prefecture in Japan;8;3;proportion;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;2;0;0;1
274;What is the population for each city in Aichi prefecture in Japan;5;1;objconamount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0
275;What is the density of elderly population for each 500 meters grid in Aichi prefecture in Japan;7;3;proportion;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;1
276;What is the lung cancer mortality rate of white males for each city in the Western USA from 1970 to 1994;6;2;objconobjconpro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0
277;Where is the hot spots and cold spots of thefts in Shanghai in December 2009;4;2;location;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
278;What is the number of injured pedestrians for each census tract in Georgia from 2001 to 2010;4;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
279;Where are the clusters of Indian immigrants in Auckland from 1991 to 2006;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
280;Where are the clusters of Korean immigrants in Auckland from 1991 to 2007;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
281;Where are the clusters of Filipino immigrants in Auckland from 1991 to 2008;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
282;Where are the clusters of Japanese immigrants in Auckland from 1991 to 2009;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
283;Where are the clusters of Cambodian immigrants in Auckland from 1991 to 2010;4;2;location;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
284;What is the number of inhabitants for each village in Banten province in Indonesia;5;1;conamount;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
285;What areas are outside 300 meters from streams in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
286;What areas are not park in Houston;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
287;What areas are outside 155 meters from nature reserve districts in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
288;What areas are outside 155 meters from endangered species areas in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
289;What areas are outside 155 meters from developed areas in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
290;What areas are not wetlands in Houston;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
291;What areas are outside 60 meters from water body in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
292;What areas are outside 60 meters from residence in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
293;What areas are outside 150 meters from hospitals in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
294;What areas are outside 150 meters from schools in Houston;5;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
295;What areas are not hurricane areas in Houston;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
296;What areas are not floodplain in Houston;3;1;location;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
297;What areas are within 500 meters from universities in Karbala in Iraq;6;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
298;What areas are within 500 meters from religious places in Karbala in Iraq;6;3;location;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
299;Which hospitals are within 15 minute driving time of an accident in New York;6;3;object;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;3;0;0;0
300;What is the average Euclidean distance to the nearest supermarket for each PC4 area in Amsterdam;5;2;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0
301;What is the average noise level for each PC4 area in Amsterdam;4;1;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
302;What is the average temperature for each PC4 area in Amsterdam;4;1;aggre;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
303;What is the total area of agriculture in Netherlands;3;1;covamount;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
304;What area do have elevation higher than 30 meters in Netherlands;4;1;field;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0
305;What is the density of greens for each PC4 area in Amsterdam;6;3;proportion;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1
