ID;Syn;AnswerFungl;AnswerProlog;Question;RQuestion;Types;Fixed
179;(S (VP (VB Name) (NP (NP (DT the) (JJ major) (NNS rivers)) (PP (IN in) (NP (NNP Florida))))));answer(major(river(loc_2(stateid('florida')))));"answer(A,(major(A),river(A),loc(A,B),const(B,stateid(florida))))";Name the major rivers in Florida;What are the major rivers in florida;object;2
180;(S (VP (VB Name) (NP (NP (DT the) (NNS rivers)) (PP (IN in) (NP (NNP Arkansas))))));answer(river(loc_2(stateid('arkansas'))));"answer(A,(river(A),loc(A,B),const(B,stateid(arkansas))))";Name the rivers in Arkansas;What are the rivers in arkansas;object;2
181;(S (VP (VB Name) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT which)) (S (VP (VBP have) (NP (DT no) (VBG surrounding) (NNS states))))))));"answer(exclude(state(all), next_to_2(state(all))))";"answer(A,(state(A),not((next_to(A,B),state(B)))))";Name the states which have no surrounding states;Which states do not intersect with a state;object;2
182;(SQ (NP (NP (NN Number)) (PP (IN of) (NP (NP (NNS citizens)) (PP (IN in) (NP (NNP Boulder)))))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";Number of citizens in Boulder;What is the number of citizens in Boulder;location;2
183;(SQ (NP (NP (NN Number)) (PP (IN of) (NP (NP (NNS people)) (PP (IN in) (NP (NNP Boulder)))))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";Number of people in Boulder;What is the number of people in Boulder;location;2
184;(SQ (NP (NP (NN Number)) (PP (IN of) (NP (NP (NNS states)) (VP (VBG bordering) (NP (NNP Iowa)))))));answer(count(state(next_to_2(stateid('iowa')))));"answer(A,count(B,(state(B),next_to(B,C),const(C,stateid(iowa))),A))";Number of states bordering Iowa;What is the number of states intersect with iowa;location;0
185;(SBARQ (PP (IN Of) (NP (NP (DT the) (NNS states)) (VP (VBN washed) (PP (IN by) (NP (DT the) (NNP Mississippi) (NN river)))))) (WHNP (WDT which)) (SQ (VP (VBZ has) (NP (DT the) (JJS lowest) (NN point)))));answer(state(loc_1(lowest(place(loc_2(state(traverse_1(river(riverid('mississippi'))))))))));"answer(D,(state(D),loc(B,D),lowest(B,(state(A),traverse(C,A),const(C,riverid(mississippi)),loc(B,A),place(B)))))";Of the states washed by the Mississippi river which has the lowest point;Which state has the smallest elevation and intersects with the mississippi river;object;1
186;(SQ (NP (NP (NNS People)) (PP (IN in) (NP (NNP Boulder)))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";People in Boulder;What is the number of people in Boulder;location;2
187;(SQ (NP (NP (NN Population)) (PP (IN of) (NP (NNP Boulder)))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";Population of Boulder;What is the number of people in Boulder;amount;2
188;(SQ (NP (NP (NNS Rivers)) (PP (IN in) (NP (NNP New) (NNP York)))));answer(river(loc_2(stateid('new york'))));"answer(A,(river(A),loc(A,B),const(B,stateid('new york'))))";Rivers in New York;Which rivers are in new york;object;1
189;(SQ (NP (NNP Sacramento)) (VP (VBZ is) (NP (NP (DT the) (NN capital)) (PP (IN of) (WHNP (WDT which) (NN state))))));"answer(state(loc_1(capital(cityid('sacramento', _)))))";"answer(A,(const(B,cityid(sacramento,_)),capital(B),loc(B,A),state(A)))";Sacramento is the capital of which state;Which state has sacramento capital;object;2
190;(SQ (NP (NNP San) (NNP Antonio)) (VP (VBZ is) (PP (IN in) (WHNP (WDT what) (NN state)))));"answer(state(loc_1(cityid('san antonio', _))))";"answer(A,(const(B,cityid('san antonio',_)),loc(B,A),state(A)))";San Antonio is in what state;Which state contains san antonio;object;2
191;(S (VP (VB Show) (NP (NP (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Colorado))))));answer(major(city(loc_2(stateid('colorado')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(colorado))))";Show major cities in Colorado;What are the major cities in colorado;object;2
192;(S (VP (VB Show) (NP (PRP me)) (NP (NP (PDT all) (DT the) (JJ major) (NNS lakes)) (PP (IN in) (NP (DT the) (NNP US))))));answer(major(lake(loc_2(countryid('usa')))));"answer(A,(major(A),lake(A),loc(A,B),const(B,countryid(usa))))";Show me all the major lakes in the US;What are the major lakes in the us;object;2
193;(S (VP (VB State) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (DT the) (JJS largest) (NN area))))));answer(largest_one(area_1(state(all))));"answer(A,largest(B,(state(A),area(A,B))))";State the state with the largest area;Which state has the biggest size;object;2
194;(SQ (NP (NP (NNS States)) (VP (VBG bordering) (NP (NNP Iowa)))));answer(state(next_to_2(stateid('iowa'))));"answer(A,(state(A),next_to(A,B),const(B,stateid(iowa))))";States bordering Iowa;Which states intersect with iowa;object;2
195;(S (VP (VB Tell) (NP (PRP me)) (SBAR (WHNP (WDT what) (NNS cities)) (S (VP (VBP are) (PP (IN in) (NP (NNP Texas))))))));answer(city(loc_2(stateid('texas'))));"answer(A,(city(A),loc(A,B),const(B,stateid(texas))))";Tell me what cities are in Texas;What cities are in texas;object;2
196;(SBARQ (WHPP (IN Through) (WHNP (WDT which) (NNS states))) (SQ (VBZ does) (NP (NP (DT the) (JJS longest) (NN river)) (PP (IN in) (NP (NNP Texas)))) (VP (VB run))));answer(state(traverse_1(longest(river(loc_2(stateid('texas')))))));"answer(A,(longest(B,(river(B),loc(B,C),const(C,stateid(texas)))),traverse(B,A)))";Through which states does the longest river in Texas run;Which states intersect with the river with the biggest length in Texas;object;0
197;(SBARQ (WHPP (IN Through) (WHNP (WDT which) (NNS states))) (SQ (VBZ does) (NP (DT the) (NNP Mississippi)) (VP (VB flow))));answer(state(traverse_1(riverid('mississippi'))));"answer(A,(state(A),const(B,riverid(mississippi)),traverse(B,A)))";Through which states does the Mississippi flow;Which states intersect with the mississippi river;object;2
198;(SBARQ (WHPP (IN Through) (WHNP (WDT which) (NNS states))) (SQ (VBZ does) (NP (DT the) (NNP Mississippi)) (VP (VB run))));answer(state(traverse_1(riverid('mississippi'))));"answer(A,(state(A),const(B,riverid(mississippi)),traverse(B,A)))";Through which states does the Mississippi run;Which states intersect with the mississippi river;object;2
199;(SBARQ (WHNP (WP What)) (SQ (VP (VBP are) (NP (NP (PDT all) (DT the) (NNS rivers)) (PP (IN in) (NP (NNP Texas)))))));answer(river(loc_2(stateid('texas'))));"answer(A,(river(A),loc(A,B),const(B,stateid(texas))))";What are all the rivers in Texas;What are the rivers in texas;object;2
200;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (JJ major) (NNS rivers)) (PP (IN in) (NP (NNP Texas))))));answer(major(river(loc_2(stateid('texas')))));"answer(A,(major(A),river(A),loc(A,B),const(B,stateid(texas))))";What are major rivers in Texas;What are the major rivers in texas;object;2
201;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJS biggest) (NNS rivers)) (PP (IN in) (NP (NNP Texas))))));answer(longest(river(loc_2(stateid('texas')))));"answer(A,longest(A,(river(A),loc(A,B),const(B,stateid(texas)))))";What are the biggest rivers in Texas;What are the biggest rivers in texas;object;1
202;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NN capital) (NNS cities)) (PP (IN of) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT which)) (S (VP (VBP border) (NP (NNP Texas))))))))));answer(capital(city(loc_2(state(next_to_2(stateid('texas')))))));"answer(A,(capital(A),city(A),loc(A,B),state(B),next_to(B,C),const(C,stateid(texas))))";What are the capital cities of the states which border Texas;What are the capitals of the states which intersect with texas;object;0
203;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN capital) (NN city)) (PP (IN in) (NP (NNP Texas))))));answer(capital(city(loc_2(stateid('texas')))));"answer(A,(capital(A),city(A),loc(A,B),const(B,stateid(texas))))";What is the capital city in Texas;What is the capital of texas;amount;1
204;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS capitals)) (PP (IN of) (NP (NP (NNS states)) (SBAR (WHNP (WDT that)) (S (VP (VBP border) (NP (NNP Missouri))))))))));answer(capital(loc_2(state(next_to_2(stateid('missouri'))))));"answer(A,(capital(A),loc(A,B),state(B),next_to(B,C),const(C,stateid(missouri))))";What are the capitals of states that border Missouri;What are the capitals of the states that intersect with missouri;object;0
205;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS capitals)) (PP (IN of) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT that)) (S (VP (VBP border) (NP (NNP Texas))))))))));answer(capital(loc_2(state(next_to_2(stateid('texas'))))));"answer(A,(capital(A),loc(A,B),state(B),next_to(B,C),const(C,stateid(texas))))";What are the capitals of the states that border Texas;What are the capitals of the states that intersect with texas;object;0
206;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS cities)) (PP (IN in) (NP (NNP California))))));answer(city(loc_2(stateid('california'))));"answer(A,(city(A),loc(A,B),const(B,stateid(california))))";What are the cities in California;What are the cities in california;object;2
207;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS cities)) (PP (IN in) (NP (NP (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))))));answer(city(loc_2(state(traverse_1(riverid('mississippi'))))));"answer(A,(city(A),loc(A,B),state(B),traverse(C,B),const(C,riverid(mississippi))))";What are the cities in states through which the Mississippi runs;What are the cities in states that intersect with mississippi river;object;0
208;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS cities)) (PP (IN of) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (DT the) (JJS highest) (NN point))))))));answer(city(loc_2(state(loc_1(highest(place(all)))))));"answer(A,(city(A),loc(A,B),state(B),loc(C,B),highest(C,place(C))))";What are the cities of the state with the highest point;What are the cities of the state with the highest point;object;0
209;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJS highest) (NNS points)) (PP (IN of) (NP (PDT all) (DT the) (NNS states))))));answer(highest(place(loc_2(state(all)))));"answer(A,highest(A,(place(A),loc(A,B),state(B))))";What are the highest points of all the states;What is the location of highest elevation in each state;object;0
210;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJS highest) (NNS points)) (PP (IN of) (NP (NP (NNS states)) (VP (VBG surrounding) (NP (NNP Mississippi))))))));answer(highest(place(loc_2(state(next_to_2(stateid('mississippi')))))));"answer(A,(highest(A,(place(A),loc(A,B),state(B))),next_to(B,C),const(C,stateid(mississippi))))";What are the highest points of states surrounding Mississippi;What is the location of highest elevation in each state that intersect with mississippi;object;0
211;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS lakes)) (PP (IN in) (NP (NP (NNS states)) (VP (VBG bordering) (NP (NNP Texas))))))));answer(lake(loc_2(state(next_to_2(stateid('texas'))))));"answer(A,(lake(A),loc(A,B),state(B),next_to(B,C),const(C,stateid(texas))))";What are the lakes in states bordering Texas;What are the lakes in states that intersect with texas;object;2
212;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJS largest) (NNS cities)) (PP (IN in) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT that)) (S (VP (VBP border) (NP (DT the) (JJS largest) (NN state))))))))));answer(largest(city(loc_2(state(next_to_2(largest(state(all))))))));"answer(A,largest(A,(city(A),loc(A,B),state(B),next_to(B,C),largest(C,state(C)))))";What are the largest cities in the states that border the largest state;What are the largest cities in the states that border the largest state;object;0
213;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Alabama))))));answer(major(city(loc_2(stateid('alabama')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(alabama))))";What are the major cities in Alabama;What are the major cities in alabama;object;2
214;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Alaska))))));answer(major(city(loc_2(stateid('alaska')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(alaska))))";What are the major cities in Alaska;What are the major cities in alaska;object;2
215;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP California))))));answer(major(city(loc_2(stateid('california')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(california))))";What are the major cities in California;What are the major cities in california;object;2
216;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Delaware))))));answer(major(city(loc_2(stateid('delaware')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(delaware))))";What are the major cities in Delaware;What are the major cities in delaware;object;2
217;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Kansas))))));answer(major(city(loc_2(stateid('kansas')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(kansas))))";What are the major cities in Kansas;What are the major cities in kansas;object;2
218;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Missouri))))));answer(major(city(loc_2(stateid('missouri')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(missouri))))";What are the major cities in Missouri;What are the major cities in missouri;object;2
219;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP New) (NNP Mexico))))));answer(major(city(loc_2(stateid('new mexico')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid('new mexico'))))";What are the major cities in New Mexico;What are the major cities in new mexico;object;2
220;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP New) (NNP York))))));answer(major(city(loc_2(stateid('new york')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid('new york'))))";What are the major cities in New York;What are the major cities in new york;object;1
221;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP North) (NNP Carolina))))));answer(major(city(loc_2(stateid('north carolina')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid('north carolina'))))";What are the major cities in North Carolina;What are the major cities in north carolina;object;2
222;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Ohio))))));answer(major(city(loc_2(stateid('ohio')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(ohio))))";What are the major cities in Ohio;What are the major cities in ohio;object;2
223;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Oklahoma))))));answer(major(city(loc_2(stateid('oklahoma')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(oklahoma))))";What are the major cities in Oklahoma;What are the major cities in oklahoma;object;2
224;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Rhode) (NNP Island))))));answer(major(city(loc_2(stateid('rhode island')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid('rhode island'))))";What are the major cities in Rhode Island;What are the major cities in rhode island;object;2
225;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NP (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))))));answer(major(city(loc_2(state(traverse_1(riverid('mississippi')))))));"answer(A,(major(A),city(A),loc(A,B),state(B),traverse(C,B),const(C,riverid(mississippi))))";What are the major cities in states through which the Mississippi runs;What are the major cities in states through which the Mississippi runs;object;0
226;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Texas))))));answer(major(city(loc_2(stateid('texas')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(texas))))";What are the major cities in Texas;What are the major cities in texas;object;2
227;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (DT the) (JJS largest) (NN state))))));answer(major(city(loc_2(largest(state(all))))));"answer(A,(major(A),city(A),loc(A,B),largest(B,state(B))))";What are the major cities in the largest state;What are the major cities in the largest state;object;0
228;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NP (DT the) (JJS smallest) (NN state)) (PP (IN in) (NP (DT the) (NNP US))))))));answer(major(city(loc_2(smallest(state(loc_2(countryid('usa'))))))));"answer(A,(major(A),city(A),loc(A,B),smallest(B,(state(B),loc(B,C),const(C,countryid(usa))))))";What are the major cities in the smallest state in the US;What are the major cities in the smallest state in the US;object;0
229;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NP (DT the) (NN state)) (PP (IN of) (NP (NNP California))))))));answer(major(city(loc_2(state(stateid('california'))))));"answer(A,(major(A),city(A),loc(A,B),state(B),const(B,stateid(california))))";What are the major cities in the state of California;What are the major cities in california;object;2
230;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NP (DT the) (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (NP (DT the) (JJ major) (NN river)) (PP (IN in) (NP (NNP Virginia)))) (VP (VBZ runs)))))))));answer(major(city(loc_2(state(traverse_1(major(river(loc_2(stateid('virginia'))))))))));"answer(A,(major(A),city(A),loc(A,B),state(B),major(C),river(C),loc(C,D),const(D,stateid(virginia)),traverse(C,B)))";What are the major cities in the states through which the major river in Virginia runs;What are the major cities in the states through which the major river in Virginia runs;object;0
231;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (DT the) (NNP USA))))));answer(major(city(loc_2(countryid('usa')))));"answer(A,(major(A),city(A),loc(A,B),const(B,countryid(usa))))";What are the major cities in the USA;What are the major cities in the usa;object;2
232;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Vermont))))));answer(major(city(loc_2(stateid('vermont')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(vermont))))";What are the major cities in Vermont;What are the major cities in vermont;object;2
233;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Wyoming))))));answer(major(city(loc_2(stateid('wyoming')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(wyoming))))";What are the major cities in Wyoming;What are the major cities in wyoming;object;2
234;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN of) (NP (NNP Texas))))));answer(major(city(loc_2(stateid('texas')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(texas))))";What are the major cities of Texas;What are the major cities in texas;object;2
235;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN of) (NP (DT the) (NNP United) (NNPS States))))));answer(major(city(loc_2(countryid('usa')))));"answer(A,(major(A),city(A),loc(A,B),const(B,countryid(usa))))";What are the major cities of the United States;What are the major cities in the united states;object;2
236;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN of) (NP (DT the) (NNP US))))));answer(major(city(loc_2(countryid('usa')))));"answer(A,(major(A),city(A),loc(A,B),const(B,countryid(usa))))";What are the major cities of the US;What are the major cities in the usa;object;2
237;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS lakes)) (PP (IN in) (NP (NNP United) (NNPS States))))));answer(major(lake(loc_2(countryid('usa')))));"answer(A,(major(A),lake(A),loc(A,B),const(B,countryid(usa))))";What are the major lakes in United States;What are the major lakes in united states;object;2
238;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS rivers)) (PP (IN in) (NP (NNP Ohio))))));answer(major(river(loc_2(stateid('ohio')))));"answer(A,(major(A),river(A),loc(A,B),const(B,stateid(ohio))))";What are the major rivers in Ohio;What are the major rivers in ohio;object;2
239;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (JJ major) (NNS rivers)) (PP (IN in) (NP (DT the) (NNP US))))));answer(major(river(loc_2(countryid('usa')))));"answer(A,(major(A),river(A),loc(A,B),const(B,countryid(usa))))";What are the major rivers in the US;What are the major rivers in the us;object;2
240;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS names)) (PP (IN of) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Illinois))))))));answer(major(city(loc_2(stateid('illinois')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(illinois))))";What are the names of the major cities in Illinois;What are the major cities in illinois;object;2
241;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (VBG neighboring) (NNS states)) (PP (IN for) (NP (NNP Michigan))))));answer(state(next_to_2(stateid('michigan'))));"answer(A,(next_to(A,B),state(A),const(B,stateid(michigan))))";What are the neighboring states for Michigan;Which states intersect with michigan;object;2
242;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NN population) (NNS densities)) (PP (IN of) (NP (DT each) (NNP US) (NN state))))));answer(density_1(state(all)));"answer(A,(density(B,A),state(B)))";What are the population densities of each US state;What are the population densities of each state in US;amount;0
243;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Mississippi))))));answer(population_1(stateid('mississippi')));"answer(A,(population(B,A),const(B,stateid(mississippi))))";What is the population of Mississippi;What is the number of people in Mississippi;amount;2
244;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (PDT all) (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Montana))))))));answer(population_1(major(city(loc_2(stateid('montana'))))));"answer(A,(population(B,A),major(B),city(B),loc(B,C),const(C,stateid(montana))))";What are the populations of all the major cities in Montana;What is the population of each major city in Montana;amount;1
245;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi) (NN river)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(river(riverid('mississippi'))))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),river(C),traverse(C,B)))";What are the populations of states through which the Mississippi river runs;What are the populations of states that intersect with mississippi river;amount;0
246;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi) (NN river)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(river(riverid('mississippi'))))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),river(C),traverse(C,B)))";What are the populations of states through which the Mississippi river runs;What are the populations of states that intersect with mississippi river;amount;0
247;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(riverid('mississippi')))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),traverse(C,B)))";What are the populations of states through which the Mississippi runs;What are the populations of states that intersect with mississippi river;amount;0
248;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(riverid('mississippi')))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),traverse(C,B)))";What are the populations of states through which the Mississippi runs;What are the populations of states that intersect with mississippi river;amount;0
249;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (NNS states)) (SBAR (WHNP (WDT which)) (S (VP (VBP border) (NP (NNP Texas))))))))));answer(population_1(state(next_to_2(stateid('texas')))));"answer(A,(population(B,A),state(B),next_to(B,C),const(C,stateid(texas))))";What are the populations of states which border Texas;What are the populations of states that intersect with texas;amount;0
250;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN of) (NP (NNP Texas))))))));answer(population_1(major(city(loc_2(stateid('texas'))))));"answer(A,(population(B,A),major(B),city(B),loc(B,C),const(C,stateid(texas))))";What are the populations of the major cities of Texas;What are the populations of the major cities in Texas;amount;1
251;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (DT the) (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi) (NN river)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(river(riverid('mississippi'))))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),river(C),traverse(C,B)))";What are the populations of the states through which the Mississippi river runs;What are the populations of states that intersect with mississippi river;amount;0
252;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (DT the) (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi) (NN river)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(river(riverid('mississippi'))))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),river(C),traverse(C,B)))";What are the populations of the states through which the Mississippi river runs;What are the populations of states that intersect with mississippi river;amount;0
253;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (DT the) (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(riverid('mississippi')))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),traverse(C,B)))";What are the populations of the states through which the Mississippi runs;What are the populations of states that intersect with mississippi river;amount;0
254;(SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (NP (DT the) (NNS populations)) (PP (IN of) (NP (NP (DT the) (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))))));answer(population_1(state(traverse_1(riverid('mississippi')))));"answer(A,(population(B,A),state(B),const(C,riverid(mississippi)),traverse(C,B)))";What are the populations of the states through which the Mississippi runs;What are the populations of states that intersect with mississippi river;amount;0
